Player,height,weight,college,born,birth_city,birth_state,Geo_code,Latitude,Longitude
Bracey Wright,211,102,"University of California, Los Angeles",1962,Hollywood,California,"36.778261, -119.4179324",36.778261,-119.4179324
Maurice Ager,196,91,Michigan State University,1984,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
James Augustine,208,106,University of Illinois at Urbana-Champaign,1984,Midlothian,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Renaldo Balkman,203,94,University of South Carolina,1984,Staten Island,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Cedric Bozeman,198,93,"University of California, Los Angeles",1983,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Ronnie Brewer,193,81,University of Arkansas,1955,Fort Smith,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Rodney Carney,201,92,University of Memphis,1984,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Mardy Collins,198,99,Temple University,1984,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Will Conroy,188,88,University of Washington,1982,Portland,Oregon,"43.8041334, -120.5542012",43.8041334,-120.5542012
Paul Davis,211,122,Michigan State University,1984,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Quincy Douby,190,79,Rutgers University,1984,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jordan Farmar,188,81,"University of California, Los Angeles",1986,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Daniel Gibson,188,86,University of Texas at Austin,1986,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Mike Hall,203,104,George Washington University,1984,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Robert Hite,188,83,University of Miami,1984,Cincinnati,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Alexander Johnson,206,108,Florida State University,1983,Albany,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Tarence Kinsey,198,83,University of South Carolina,1984,Tampa,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Renaldo Major,201,90,"California State University, Fresno",1982,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Pops Mensah-Bonsu,206,108,George Washington University,1983,London,United Kingdom,"55.378051, -3.435973",55.378051,-3.435973
David Noel,198,104,University of North Carolina,1984,Durham,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Steve Novak,208,102,Marquette University,1983,Libertyville,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Leon Powe,203,108,University of California,1984,Berkeley,California,"36.778261, -119.4179324",36.778261,-119.4179324
Chris Quinn,188,83,University of Notre Dame,1983,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Allan Ray,188,86,Villanova University,1984,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jeremy Richardson,198,83,Delta State University,1984,Allentown,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Rajon Rondo,185,84,University of Kentucky,1986,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Cedric Simmons,206,106,North Carolina State University,1986,Shallotte,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Steven Smith,201,90,Michigan State University,1969,Highland Park,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Justin Williams,208,102,University of Wyoming,1984,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Marcus Williams,185,89,University of Alabama,1982,Jackson,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Shawne Williams,185,91,University of North Carolina,1975,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Arron Afflalo,196,95,"University of California, Los Angeles",1985,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Javaris Crittenton,196,90,Georgia Institute of Technology,1987,Atlanta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Kevin Durant,206,108,University of Texas at Austin,1988,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Thomas Gardner,196,102,University of Missouri,1985,Portland,Oregon,"43.8041334, -120.5542012",43.8041334,-120.5542012
Aaron Gray,213,122,University of Pittsburgh,1984,Tarzana,California,"36.778261, -119.4179324",36.778261,-119.4179324
Taurean Green,183,80,University of Florida,1986,Fort Lauderdale,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Joakim Noah,211,104,University of Florida,1985,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Chris Richard,206,122,University of Florida,1984,Lakeland,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Darryl Watkins,211,117,Syracuse University,1984,Paterson,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Sean Williams,208,106,Boston College,1986,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Nick Young,201,95,University of Southern California,1985,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Joe Alexander,203,104,West Virginia University,1986,Kaohsiung,Taiwan,"23.69781, 120.960515",23.69781,120.960515
Michael Beasley,206,106,Kansas State University,1989,Frederick,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Bobby Brown,193,92,Miami University,1923,Versailles,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Malik Hairston,198,99,University of Oregon,1987,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Steven Hill,213,112,University of Arkansas,1985,Chanute,Kansas,"39.011902, -98.4842465",39.011902,-98.4842465
Dontell Jefferson,196,88,University of Arkansas,1983,Lithonia,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Trey Johnson,196,98,Jackson State University,1984,Jackson,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Kosta Koufos,213,120,Ohio State University,1989,Canton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Rob Kurz,206,105,University of Notre Dame,1985,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
JaVale McGee,213,122,"University of Nevada, Reno",1988,Flint,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Greg Oden,213,113,Ohio State University,1988,Buffalo,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Anthony Randolph,208,92,Louisiana State University,1989,Worzbach,Germany,"51.165691, 10.451526",51.165691,10.451526
Sean Singletary,183,83,University of Virginia,1985,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Mike Taylor,188,74,Iowa State University,1986,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Jason Thompson,185,83,University of South Carolina,1946,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Kyle Weaver,198,91,Washington State University,1986,Janesville,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Russell Westbrook,190,90,"University of California, Los Angeles",1988,Long Beach,California,"36.778261, -119.4179324",36.778261,-119.4179324
David Andersen,208,104,Augsburg College,1943,Minneapolis,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Derrick Brown,185,72,Jacksonville University,1968,Jacksonville,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Earl Clark,208,102,University of Louisville,1988,Plainfield,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Darren Collison,183,79,"University of California, Los Angeles",1987,Rancho Cucamonga,California,"36.778261, -119.4179324",36.778261,-119.4179324
Dante Cunningham,203,104,Villanova University,1987,Clinton,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
JamesOn Curry,190,86,Oklahoma State University,1986,Pleasant Grove,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Wayne Ellington,193,90,University of North Carolina,1987,Wynnewood,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Jonny Flynn,183,83,Syracuse University,1989,Niagara Falls,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Taj Gibson,206,102,University of Southern California,1985,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Trey Gilder,206,83,Northwestern State University,1985,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Taylor Griffin,201,107,University of Oklahoma,1986,Oklahoma City,Oklahoma,"35.4675602, -97.5164276",35.4675602,-97.5164276
Jordan Hill,208,106,University of Arizona,1987,Atlanta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Jrue Holiday,193,92,"University of California, Los Angeles",1990,Chatsworth,California,"36.778261, -119.4179324",36.778261,-119.4179324
Chris Hunter,211,108,University of Michigan,1984,Gary,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Cedric Jackson,190,86,Cleveland State University,1986,Alamogordo,New Mexico,"34.5199402, -105.8700901",34.5199402,-105.8700901
Marcus Landry,201,104,University of Wisconsin,1985,Milwaukee,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Ty Lawson,180,88,University of North Carolina,1987,Clinton,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Byron Mullens,213,124,Ohio State University,1989,Canal Winchester,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Jeff Adrien,201,111,University of Connecticut,1986,Brookline,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Cole Aldrich,211,113,University of Kansas,1988,Burnsville,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Al-Farouq Aminu,206,99,Wake Forest University,1990,Atlanta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
James Anderson,198,96,Oklahoma State University,1989,El Dorado,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Trevor Booker,203,103,Clemson University,1987,Newberry,South Carolina,"33.836081, -81.1637245",33.836081,-81.1637245
Avery Bradley,188,81,University of Texas at Austin,1990,Tacoma,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Derrick Caracter,206,124,University of Texas at El Paso,1988,Fanwood,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Marcus Cousin,211,111,University of Houston,1986,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Jordan Crawford,196,95,University of Kentucky,1986,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Jeremy Evans,206,90,Western Kentucky University,1987,Crossett,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Patrick Ewing,213,108,Georgetown University,1962,Kingston,Jamaica,"18.109581, -77.297508",18.109581,-77.297508
Luke Harangody,203,111,University of Notre Dame,1988,Decatur,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Damion James,201,102,University of Texas at Austin,1987,Hobbs,New Mexico,"34.5199402, -105.8700901",34.5199402,-105.8700901
Jeremy Lin,190,90,Harvard University,1988,Palo Alto,California,"36.778261, -119.4179324",36.778261,-119.4179324
Greg Monroe,211,120,Georgetown University,1990,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Gary Neal,193,95,Towson University,1984,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Larry Owens,201,95,Oral Roberts University,1983,Mesa,Arizona,"34.0489281, -111.0937311",34.0489281,-111.0937311
Quincy Pondexter,201,99,University of Washington,1988,Fresno,California,"36.778261, -119.4179324",36.778261,-119.4179324
Andy Rautins,193,86,Syracuse University,1986,Syracuse,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Larry Sanders,211,106,Virginia Commonwealth University,1988,Fort Pierce,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Mustafa Shakur,190,86,University of Arizona,1984,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Lance Stephenson,196,104,University of Cincinnati,1990,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Evan Turner,201,99,Ohio State University,1988,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Ben Uzoh,190,92,University of Tulsa,1988,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Hassan Whiteside,213,120,Marshall University,1989,Gastonia,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
MarShon Brooks,196,90,Providence College,1989,Long Branch,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Alec Burks,198,97,University of Colorado,1991,Grandview,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Norris Cole,188,79,Cleveland State University,1988,Dayton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Justin Dentmon,180,83,University of Washington,1985,Carbondale,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Jerome Dyson,190,81,University of Connecticut,1987,Rockville,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Courtney Fortson,180,83,University of Arkansas,1988,San Antonio,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Andrew Goudelock,190,90,College of Charleston,1988,Gainesville,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Jordan Hamilton,178,72,University of North Texas,1948,Lexington,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Terrel Harris,196,86,Oklahoma State University,1987,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Darington Hobson,201,95,University of New Mexico,1987,Las Vegas,Nevada,"38.8026097, -116.419389",38.8026097,-116.419389
Carldell Johnson,178,81,University of Alabama at Birmingham,1983,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
JaJuan Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming,"43.0759678, -107.2902839",43.0759678,-107.2902839
Brandon Knight,178,78,Stanford University,1975,Livingston,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Shelvin Mack,190,92,Butler University,1990,Lexington,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Vernon Macklin,208,102,University of Florida,1986,Portsmouth,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Chandler Parsons,208,104,University of Florida,1988,Casselberry,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Ryan Reid,203,105,Florida State University,1986,Lauderdale Lakes,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Josh Selby,188,83,University of Kansas,1991,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Jerry Smith,188,86,University of Louisville,1987,Wauwatosa,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Lance Thomas,203,106,Duke University,1988,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Tristan Thompson,206,107,University of Texas at Austin,1991,Toronto,Canada,"56.130366, -106.346771",56.130366,-106.346771
Edwin Ubiles,198,92,Siena College,1986,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Derrick Williams,190,90,University of Illinois at Urbana-Champaign,1984,Parkersburg,West Virginia,"38.5976262, -80.4549026",38.5976262,-80.4549026
Elliot Williams,196,86,University of Memphis,1989,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Quincy Acy,201,108,Baylor University,1990,Tyler,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Josh Akognon,180,83,"California State University, Fullerton",1986,Greenbrae,California,"36.778261, -119.4179324",36.778261,-119.4179324
Patrick Beverley,185,83,University of Arkansas,1988,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Kim English,198,90,University of Missouri,1988,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Maurice Harkless,206,97,St. John's University,1993,Queens,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Justin Holiday,198,83,University of Washington,1989,Mission Hills,California,"36.778261, -119.4179324",36.778261,-119.4179324
John Jenkins,193,97,Vanderbilt University,1991,Nashville,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Kris Joseph,201,95,Syracuse University,1988,Montreal,Canada,"56.130366, -106.346771",56.130366,-106.346771
Kendall Marshall,193,90,University of North Carolina,1991,Dumfries,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Darius Miller,203,106,University of Kentucky,1990,Maysville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
